Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($)
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,vanallen-aldubayan-lab--PRS-Ma,terra-46e8b1dd,firecloud.org > prod > CommunityWorkbench,Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,,Usage,2024-05-01,2024-05-31,0.997,month,0.181436,0.18
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,vanallen-aldubayan-lab--QATR-1,terra-af1a7acf,firecloud.org > prod > CommunityWorkbench,Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,,Usage,2024-05-01,2024-05-31,0.997,month,0.181436,0.18
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,vanallen-aldubayan-lab--UKbio-,terra-8392b651,firecloud.org > prod > CommunityWorkbench,Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,,Usage,2024-05-01,2024-05-31,0.997,month,0.181436,0.18
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,vanallen-aldubayan-lab--VanAll,terra-cfa1b7e3,firecloud.org > prod > CommunityWorkbench,Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,,Usage,2024-05-01,2024-05-31,0.997,month,0.181436,0.18
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,vanallen-aldubayan-lab--arab-b,terra-d3c999a2,firecloud.org > prod > CommunityWorkbench,Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,,Usage,2024-05-01,2024-05-31,0.997,month,0.181436,0.18
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,vanallen-aldubayan-lab--arab-b,terra-7036173e,firecloud.org > prod > CommunityWorkbench,Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,,Usage,2024-05-01,2024-05-31,0.997,month,0.181436,0.18
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,vanallen-aldubayan-lab--germli,terra-336dd9a6,firecloud.org > prod > CommunityWorkbench,Cloud DNS,FA26-5236-B8B5,ManagedZone,8C22-6FC3-D478,,Usage,2024-05-01,2024-05-31,0.997,month,0.181436,0.18
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-f64e23e8,firecloud.org > prod > CommunityWorkbench,Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Replication within Northern America,AED0-3315-7B11,,Usage,2024-05-01,2024-05-30,0.003,gibibyte,0.000067,0.00
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,Aldubayan-lab-DFCI,aldubayan-lab-dfci,broadinstitute.org,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,,Usage,2024-05-01,2024-05-31,0.027,gibibyte,0.000000,0.00
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-f64e23e8,firecloud.org > prod > CommunityWorkbench,Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,,Usage,2024-05-01,2024-05-31,21.556,gibibyte,0.000000,0.00
